Fund,Department,Control Officer,Department ID,Short Title,Link to Website,Department Description,Adopted 2015,Itemized 2015,Adopted 2016,Itemized 2016,Adopted 2017,Itemized 2017,Adopted 2018,Itemized 2018,Adopted 2019,Itemized 2019,Adopted 2020,Itemized 2020,Adopted 2021,Itemized 2021,Adopted 2022,Itemized 2022,Adopted 2023,Itemized 2023,Adopted 2024,Itemized 2024,Adopted 2025,Itemized 2025,Adopted 2026,Itemized 2026,Adopted 2027,Itemized 2027
ANTI-GUN VIOLENCE INITIATIVE,Anti-Gun Violence - Community Based Programs,DOHMH,1,Anti-Gun Violence - Community Based Programs,,"“Anti-Gun Violence - Community Based Programs” — a ANTI-GUN VIOLENCE INITIATIVE discretionary initiative administered by DOHMH. FY2015 adopted: $2,528,000.",2528000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTI-GUN VIOLENCE INITIATIVE,Anti-Gun Violence - Evaluation,CUNY,2,Anti-Gun Violence - Evaluation,,"“Anti-Gun Violence - Evaluation” — a ANTI-GUN VIOLENCE INITIATIVE discretionary initiative administered by CUNY. FY2015 adopted: $250,000.",250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTI-GUN VIOLENCE INITIATIVE,Anti-Gun Violence - Job Readiness,DOP,3,Anti-Gun Violence - Job Readiness,,"“Anti-Gun Violence - Job Readiness” — a ANTI-GUN VIOLENCE INITIATIVE discretionary initiative administered by DOP. FY2015 adopted: $647,000.",647000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTI-GUN VIOLENCE INITIATIVE,Anti-Gun Violence - Legal Services,MOCJ,4,Anti-Gun Violence - Legal Services,,"“Anti-Gun Violence - Legal Services” — a ANTI-GUN VIOLENCE INITIATIVE discretionary initiative administered by MOCJ. FY2015 adopted: $1,175,000.",1175000,1175000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTI-GUN VIOLENCE INITIATIVE,Anti-Gun Violence - Mental Health/Therapeutic Services,DOHMH,5,Anti-Gun Violence - Mental Health/Therapeutic Services,,"“Anti-Gun Violence - Mental Health/Therapeutic Services” — a ANTI-GUN VIOLENCE INITIATIVE discretionary initiative administered by DOHMH. FY2015 adopted: $1,300,000.",1300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTI-GUN VIOLENCE INITIATIVE,Anti-Gun Violence - School Based Conflict Mediation,DOE,6,Anti-Gun Violence - School Based Conflict Mediation,,"“Anti-Gun Violence - School Based Conflict Mediation” — a ANTI-GUN VIOLENCE INITIATIVE discretionary initiative administered by DOE. FY2015 adopted: $550,000.",550000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTI-GUN VIOLENCE INITIATIVE,"Anti-Gun Violence - Violence Prevention, Conflict Mediation, and Youth Development",DYCD,7,"Anti-Gun Violence - Violence Prevention, Conflict Mediation, and Youth Development",,"“Anti-Gun Violence - Violence Prevention, Conflict Mediation, and Youth Development” — a ANTI-GUN VIOLENCE INITIATIVE discretionary initiative administered by DYCD. FY2015 adopted: $250,000.",250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Poverty,Multiple Anti-Poverty Initiative,Unspecified agency,8,Multiple Anti-Poverty Initiative,,"“Multiple Anti-Poverty Initiative” — a Anti-Poverty discretionary initiative administered by Unspecified agency. FY2027 adopted: $2,800,000.",0,0,0,0,0,0,0,0,0,0,0,0,2800000,0,0,0,2800000,0,2800000,0,2800000,0,2800000,0,2800000,0
Anti-Poverty,Multiple Boroughwide Needs Initiative,Unspecified agency,9,Multiple Boroughwide Needs Initiative,,"“Multiple Boroughwide Needs Initiative” — a Anti-Poverty discretionary initiative administered by Unspecified agency. FY2022 adopted: $2,000,000.",0,0,2000000,0,2000000,0,2000000,0,2000000,0,2000000,0,0,0,2000000,0,0,0,0,0,0,0,0,0,0,0
Anti-Poverty,Multiple Initiative to Address Poverty,Unspecified agency,10,Multiple Initiative to Address Poverty,,"“Multiple Initiative to Address Poverty” — a Anti-Poverty discretionary initiative administered by Unspecified agency. FY2015 adopted: $2,800,000.",2800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
